"Title","Genre","Company","AgeRating","Year","Rating","RatingCount","Director","Writer","Star","Budget","Revenue","RunTime","Country","Profit"
"The Thin Red Line","Drama","Fox 2000 Pictures","R",1998,7.6,177000,"Terrence Malick","James Jones","Jim Caviezel",52000000,98126565,170,"United States",46126565
"The Change-Up","Comedy","Universal Pictures","R",2011,6.3,172000,"David Dobkin","Jon Lucas","Jason Bateman",52000000,75450437,112,"United States",23450437
"Casino","Drama","Universal Pictures","R",1995,8.2,480000,"Martin Scorsese","Nicholas Pileggi","Robert De Niro",52000000,116112375,178,"United States",64112375
"The Adjustment Bureau","Science Fiction","Universal Pictures","PG-13",2011,7,248000,"George Nolfi","George Nolfi","Matt Damon",50200000,127869379,106,"United States",77669379
"Robin Hood: Prince of Thieves","Adventure","Warner Bros.","PG-13",1991,6.9,182000,"Kevin Reynolds","Pen Densham","Kevin Costner",48000000,390493908,143,"United States",342493908
"Ted","Comedy","Universal Pictures","R",2012,6.9,580000,"Seth MacFarlane","Seth MacFarlane","Mark Wahlberg",50000000,549368315,106,"United States",499368315
"Patch Adams","Comedy","Universal Pictures","PG-13",1998,6.8,108000,"Tom Shadyac","Patch Adams","Robin Williams",50000000,202292902,115,"United States",152292902
"Super 8","Thriller","Paramount Pictures","PG-13",2011,7,343000,"J.J. Abrams","J.J. Abrams","Elle Fanning",50000000,260095987,112,"United States",210095987
"22 Jump Street","Crime","Columbia Pictures","R",2014,7,354000,"Phil Lord","Michael Bacall","Channing Tatum",50000000,188441614,112,"United States",138441614
"Central Intelligence","Action","New Line Cinema","PG-13",2016,6.3,166000,"Rawson Marshall Thurber","Ike Barinholtz","Dwayne Johnson",50000000,216972543,107,"United States",166972543
"Daddy's Home","Comedy","Paramount Pictures","PG-13",2015,6.2,112000,"Sean Anders","Brian Burns","Will Ferrell",50000000,242786137,96,"United States",192786137
"Congo","Action","Paramount Pictures","PG-13",1995,5.2,43000,"Frank Marshall","Michael Crichton","Laura Linney",50000000,152022101,109,"United States",102022101
"Knowing","Action","Summit Entertainment","PG-13",2009,6.2,225000,"Alex Proyas","Ryne Douglas Pearson","Nicolas Cage",50000000,155446362,121,"United States",105446362
"Failure to Launch","Comedy","Paramount Pictures","PG-13",2006,5.6,76000,"Tom Dey","Tom J. Astle","Matthew McConaughey",50000000,88715192,97,"United States",38715192
"Moneyball","Drama","Columbia Pictures","PG-13",2011,7.6,385000,"Bennett Miller","Steven Zaillian","Brad Pitt",50000000,110206216,133,"United States",60206216
"Non-Stop","Action","StudioCanal","PG-13",2014,6.9,254000,"Jaume Collet-Serra","John W. Richardson","Liam Neeson",50000000,222809600,106,"United Kingdom",172809600
"Race to Witch Mountain","Adventure","Walt Disney Pictures","PG",2009,5.7,57000,"Andy Fickman","Matt Lopez","Dwayne Johnson",50000000,106303988,98,"United States",56303988
"Curious George","Adventure","Imagine Entertainment","G",2006,6.5,16000,"Matthew O'Callaghan","Ken Kaufman","Will Ferrell",50000000,69834815,86,"United States",19834815
"Herbie Fully Loaded","Comedy","Walt Disney Pictures","G",2005,4.8,46000,"Angela Robinson","Thomas Lennon","Lindsay Lohan",50000000,66002004,101,"United States",16002004
"Hansel & Gretel: Witch Hunters","Fantasy","Paramount Pictures","R",2013,6.1,198000,"Tommy Wirkola","Tommy Wirkola","Jeremy Renner",50000000,224803475,88,"United States",174803475
"G.I. Jane","Action","Caravan Pictures","R",1997,6,75000,"Ridley Scott","Danielle Alexandra","Demi Moore",50000000,48169156,125,"United States",-1830844
"American Reunion","Comedy","Universal Pictures","R",2012,6.7,206000,"Jon Hurwitz","Jon Hurwitz","Jason Biggs",50000000,234989584,113,"United States",184989584
"Beverly Hills Cop III","Action","Paramount Pictures","R",1994,5.6,78000,"John Landis","Danilo Bach","Eddie Murphy",50000000,119208989,104,"United States",69208989
"The Beach","Drama","Figment Films","R",2000,6.7,228000,"Danny Boyle","John Hodge","Leonardo DiCaprio",40000000,144056873,119,"United States",104056873
"Raising Helen","Drama","Touchstone Pictures","PG-13",2004,6,36000,"Garry Marshall","Patrick J. Clifton","Kate Hudson",50000000,49718611,119,"United States",-281389
"Blood Work","Crime","Malpaso Productions","R",2002,6.4,43000,"Clint Eastwood","Michael Connelly","Clint Eastwood",50000000,26199517,110,"United States",-23800483
"Escape from L.A.","Action","Paramount Pictures","R",1996,5.7,71000,"John Carpenter","John Carpenter","Kurt Russell",50000000,42277365,97,"United States",-7722635
"The Life Aquatic with Steve Zissou","Adventure","Touchstone Pictures","R",2004,7.3,185000,"Wes Anderson","Wes Anderson","Bill Murray",50000000,34808403,119,"United States",-15191597
"The Messenger: The Story of Joan of Arc","Adventure","Columbia Pictures","R",1999,6.4,65000,"Luc Besson","Andrew Birkin","Milla Jovovich",60000000,66976317,148,"France",6976317
"Your Highness","Comedy","Universal Pictures","R",2011,5.5,99000,"David Gordon Green","Danny McBride","Danny McBride",49900000,26121638,102,"United States",-23778362
"Dream House","Drama","Cliffjack Motion Pictures","PG-13",2011,6,64000,"Jim Sheridan","David Loucka","Daniel Craig",50000000,38502340,84,"United States",-11497660
"Fair Game","Drama","River Road Entertainment","PG-13",2010,6.8,47000,"Doug Liman","Jez Butterworth","Naomi Watts",22000000,24188922,108,"United States",2188922
"Domino","Action","New Line Cinema","R",2005,5.9,65000,"Tony Scott","Richard Kelly","Keira Knightley",50000000,22944502,127,"United States",-27055498
"Jade","Action","Paramount Pictures","R",1995,5.3,12000,"William Friedkin","Joe Eszterhas","David Caruso",50000000,9851610,95,"United States",-40148390
"Beautiful Creatures","Fantasy","Alcon Entertainment","PG-13",2013,6.1,85000,"Richard LaGravenese","Richard LaGravenese","Alice Englert",60000000,60052138,124,"United States",52138
"The Big Bounce","Comedy","Shangri-La Entertainment","PG-13",2004,4.9,18000,"George Armitage","Elmore Leonard","Owen Wilson",50000000,6808550,88,"United States",-43191450
"Drive Angry","Fantasy","Summit Entertainment","R",2011,5.4,96000,"Patrick Lussier","Todd Farmer","Nicolas Cage",50000000,28931401,105,"United States",-21068599
"Chappie","Crime","Columbia Pictures","R",2015,6.8,235000,"Neill Blomkamp","Neill Blomkamp","Sharlto Copley",49000000,104399548,120,"South Africa",55399548
"Child 44","Crime","Summit Entertainment","R",2015,6.5,68000,"Daniel Espinosa","Richard Price","Tom Hardy",50000000,3324330,137,"Czech Republic",-46675670
"Rat Race","Adventure","Paramount Pictures","PG-13",2001,6.4,111000,"Jerry Zucker","Andy Breckman","Breckin Meyer",48000000,85498534,112,"United States",37498534
"Out of Sight","Romance","Universal Pictures","R",1998,7,88000,"Steven Soderbergh","Elmore Leonard","George Clooney",48000000,77745568,123,"United States",29745568
"Dick Tracy","Adventure","Touchstone Pictures","PG",1990,6.1,59000,"Warren Beatty","Chester Gould","Warren Beatty",47000000,103738726,103,"United States",56738726
"Riding in Cars with Boys","Comedy","Columbia Pictures","PG-13",2001,6.5,27000,"Penny Marshall","Beverly D'Onofrio","Drew Barrymore",48000000,35743308,132,"United States",-12256692
"My Best Friend's Wedding","Comedy","TriStar Pictures","PG-13",1997,6.3,134000,"P.J. Hogan","Ronald Bass","Julia Roberts",38000000,299288605,105,"United States",261288605
"Jonah Hex","Action","Warner Bros.","PG-13",2010,4.7,56000,"Jimmy Hayward","Mark Neveldine","Josh Brolin",47000000,10539000,80,"United States",-36461000
"Courage Under Fire","Drama","Fox 2000 Pictures","R",1996,6.6,52000,"Edward Zwick","Patrick Sheane Duncan","Denzel Washington",46000000,100860818,117,"United States",54860818
"The Flintstones","Fantasy","Universal Pictures","PG",1994,4.9,77000,"Brian Levant","Tom S. Parker","John Goodman",46000000,341631208,91,"United States",295631208
"Scary Movie 3","Comedy","Dimension Films","PG-13",2003,5.5,140000,"David Zucker","Craig Mazin","Anna Faris",48000000,220673217,84,"United States",172673217
"Journey to the Center of the Earth","Action","New Line Cinema","PG",2008,5.8,116000,"Eric Brevig","Michael D. Weiss","Brendan Fraser",45000000,101702060,93,"United States",56702060
"The Princess Diaries 2: Royal Engagement","Comedy","Walt Disney Pictures","G",2004,5.8,76000,"Garry Marshall","Meg Cabot","Anne Hathaway",40000000,95149435,113,"United States",55149435
"The Pelican Brief","Drama","Warner Bros.","PG-13",1993,6.6,81000,"Alan J. Pakula","John Grisham","Julia Roberts",45000000,195268056,141,"United States",150268056
"Monster-in-Law","Romance","New Line Cinema","PG-13",2005,5.6,58000,"Robert Luketic","Anya Kochoff","Jennifer Lopez",43000000,154749918,101,"United States",111749918
"Prisoners","Drama","Alcon Entertainment","R",2013,8.1,625000,"Denis Villeneuve","Aaron Guzikowski","Hugh Jackman",46000000,122126687,153,"United States",76126687
"The Muppets","Comedy","Walt Disney Pictures","PG",2011,7.1,89000,"James Bobin","Jason Segel","Amy Adams",45000000,165184237,103,"United States",120184237
"Changing Lanes","Action","Paramount Pictures","R",2002,6.5,68000,"Roger Michell","Chap Taylor","Ben Affleck",45000000,94935764,89,"United States",49935764
"Love Actually","Comedy","Universal Pictures","R",2003,7.6,444000,"Richard Curtis","Richard Curtis","Hugh Grant",40000000,244931766,135,"United Kingdom",204931766
"Kicking & Screaming","Romance","Universal Pictures","PG",2005,5.6,37000,"Jesse Dylan","Leo Benvenuti","Will Ferrell",45000000,56070433,95,"United States",11070433
"Savages","Crime","Ixtlan","R",2012,6.5,126000,"Oliver Stone","Shane Salerno","Aaron Taylor-Johnson",45000000,82966152,131,"United States",37966152
"Cellular","Action","New Line Cinema","PG-13",2004,6.5,95000,"David R. Ellis","Larry Cohen","Kim Basinger",25000000,56422687,94,"United States",31422687
"Johnny English","Adventure","Universal Pictures","PG",2003,6.2,152000,"Peter Howitt","Neal Purvis","Rowan Atkinson",40000000,160583018,88,"United Kingdom",120583018
"Dune","Action","Dino De Laurentiis Company","PG-13",1984,6.5,132000,"David Lynch","Frank Herbert","Kyle MacLachlan",40000000,30925690,137,"United States",-9074310
"The Phantom","Adventure","Paramount Pictures","PG",1996,5,33000,"Simon Wincer","Lee Falk","Billy Zane",45000000,17300889,100,"Australia",-27699111
"Big Trouble","Action","Touchstone Pictures","PG-13",2002,6.5,20000,"Barry Sonnenfeld","Dave Barry","Tim Allen",40000000,8493890,85,"United States",-31506110
"Love in the Time of Cholera","Drama","New Line Cinema","R",2007,6.4,23000,"Mike Newell","Ronald Harwood","Javier Bardem",45000000,4607608,139,"United States",-40392392
"Johnny English Reborn","Crime","Universal Pictures","PG",2011,6.3,123000,"Oliver Parker","Hamish McColl","Rowan Atkinson",45000000,160078586,101,"United Kingdom",115078586
"The Fugitive","Adventure","Warner Bros.","PG-13",1993,7.8,275000,"Andrew Davis","Jeb Stuart","Harrison Ford",44000000,368875760,130,"United States",324875760
"The Bounty Hunter","Action","Columbia Pictures","PG-13",2010,5.6,123000,"Andy Tennant","Sarah Thorp","Jennifer Aniston",40000000,1.36e+08,110,"United States",9.6e+07
"Charlie St. Cloud","Drama","Universal Pictures","PG-13",2010,6.4,60000,"Burr Steers","Craig Pearce","Zac Efron",44000000,48190704,99,"United States",4190704
"The Mechanic","Action","CBS Films","R",2011,6.6,154000,"Simon West","Richard Wenk","Jason Statham",40000000,51070807,93,"United States",11070807
"21 Jump Street","Action","Columbia Pictures","R",2012,7.2,521000,"Phil Lord","Michael Bacall","Jonah Hill",42000000,201585328,109,"United States",159585328
"Boomerang","Comedy","Paramount Pictures","R",1992,5.5,27000,"Reginald Hudlin","Barry W. Blaustein","Eddie Murphy",40000000,70100000,117,"United States",30100000
"The Mothman Prophecies","Drama","Lakeshore Entertainment","PG-13",2002,6.4,77000,"Mark Pellington","Richard Hatem","Richard Gere",32000000,55157539,119,"United States",23157539
"15 Minutes","Action","New Line Cinema","R",2001,6.1,49000,"John Herzfeld","John Herzfeld","Robert De Niro",60000000,56359980,120,"United States",-3640020
"One for the Money","Action","Lakeshore Entertainment","PG-13",2012,5.3,41000,"Julie Anne Robinson","Stacy Sherman","Katherine Heigl",40000000,36893721,91,"United States",-3106279
"The Interview","Action","Columbia Pictures","R",2014,6.5,313000,"Evan Goldberg","Dan Sterling","James Franco",44000000,12342632,112,"United States",-31657368
"8 Mile","Drama","Imagine Entertainment","R",2002,7.1,259000,"Curtis Hanson","Scott Silver","Eminem",41000000,2.15e+08,110,"United States",1.74e+08
"Man on a Ledge","Action","Summit Entertainment","PG-13",2012,6.6,147000,"Asger Leth","Pablo F. Fenjves","Sam Worthington",42000000,46221189,102,"United States",4221189
"American Hustle","Drama","Columbia Pictures","R",2013,7.2,458000,"David O. Russell","Eric Warren Singer","Christian Bale",40000000,251171807,138,"United States",211171807
"The Proposal","Comedy","Touchstone Pictures","PG-13",2009,6.7,303000,"Anne Fletcher","Peter Chiarelli","Sandra Bullock",40000000,317375031,108,"United States",277375031
"Double Jeopardy","Crime","Paramount Pictures","R",1999,6.5,78000,"Bruce Beresford","David Weisberg","Ashley Judd",70000000,177841558,105,"United States",107841558
"Back to the Future Part II","Adventure","Universal Pictures","PG",1989,7.8,494000,"Robert Zemeckis","Robert Zemeckis","Michael J. Fox",40000000,3.32e+08,108,"United States",2.92e+08
"Fifty Shades of Grey","Drama","Focus Features","R",2015,4.1,304000,"Sam Taylor-Johnson","Kelly Marcel","Dakota Johnson",40000000,571006128,125,"United States",531006128
"Spy Kids 3-D: Game Over","Action","Dimension Films","PG",2003,4.3,57000,"Robert Rodriguez","Robert Rodriguez","Daryl Sabara",38000000,197011982,84,"United States",159011982
"The Conjuring 2","Horror","New Line Cinema","R",2016,7.3,242000,"James Wan","Chad Hayes","Vera Farmiga",40000000,320170008,134,"Canada",280170008
"The Social Network","Drama","Columbia Pictures","PG-13",2010,7.7,645000,"David Fincher","Aaron Sorkin","Jesse Eisenberg",40000000,224920315,120,"United States",184920315
"He's Just Not That Into You","Comedy","New Line Cinema","PG-13",2009,6.4,165000,"Ken Kwapis","Abby Kohn","Ginnifer Goodwin",40000000,177259441,129,"Germany",137259441
"Scary Movie 4","Comedy","Dimension Films","PG-13",2006,5.1,116000,"David Zucker","Craig Mazin","Anna Faris",45000000,178262620,83,"United States",133262620
"Back to the Future Part III","Adventure","Universal Pictures","PG",1990,7.4,416000,"Robert Zemeckis","Robert Zemeckis","Michael J. Fox",40000000,244527583,118,"United States",204527583
"Get Hard","Comedy","Gary Sanchez Productions","R",2015,6,127000,"Etan Cohen","Jay Martel","Will Ferrell",40000000,111811453,100,"United States",71811453
"Dracula","Romance","American Zoetrope","R",1992,7.4,199000,"Francis Ford Coppola","Bram Stoker","Gary Oldman",40000000,215862692,128,"United Kingdom",175862692
"Julie & Julia","Romance","Columbia Pictures","PG-13",2009,7,111000,"Nora Ephron","Nora Ephron","Amy Adams",40000000,129540499,123,"United States",89540499
"42","Drama","Warner Bros.","PG-13",2013,7.5,89000,"Brian Helgeland","Brian Helgeland","Chadwick Boseman",40000000,95020213,128,"United States",55020213
"Eight Below","Adventure","Walt Disney Pictures","PG",2006,7.3,62000,"Frank Marshall","David DiGilio","Paul Walker",40000000,120455994,120,"United States",80455994
"The Intern","Comedy","Waverly Films","PG-13",2015,7.1,231000,"Nancy Meyers","Nancy Meyers","Robert De Niro",35000000,194564672,121,"United States",159564672
"Ride Along 2","Action","Universal Pictures","PG-13",2016,5.9,55000,"Tim Story","Phil Hay","Ice Cube",40000000,124827316,102,"United States",84827316
"Ray","Drama","Universal Pictures","PG-13",2004,7.7,141000,"Taylor Hackford","Taylor Hackford","Jamie Foxx",40000000,124731534,152,"United States",84731534
"Sin City","Action","Dimension Films","R",2005,8,745000,"Frank Miller","Frank Miller","Mickey Rourke",40000000,158733820,124,"United States",118733820
"Vantage Point","Drama","Columbia Pictures","PG-13",2008,6.6,146000,"Pete Travis","Barry L. Levy","Dennis Quaid",40000000,151161491,90,"United States",111161491
"17 Again","Comedy","New Line Cinema","PG-13",2009,6.4,187000,"Burr Steers","Jason Filardi","Zac Efron",20000000,136267476,102,"United States",116267476
"The Final Destination","Horror","New Line Cinema","R",2009,5.2,99000,"David R. Ellis","Eric Bress","Nick Zano",40000000,186167139,82,"United States",146167139
"Get Him to the Greek","Comedy","Universal Pictures","R",2010,6.3,172000,"Nicholas Stoller","Nicholas Stoller","Jonah Hill",40000000,90029656,109,"United States",50029656
"Small Soldiers","Comedy","Universal Pictures","PG-13",1998,6.2,93000,"Joe Dante","Gavin Scott","Kirsten Dunst",40000000,54682547,110,"United States",14682547
"Apocalypto","Action","Icon Productions","R",2006,7.8,297000,"Mel Gibson","Mel Gibson","Gerardo Taracena",40000000,120175290,139,"United States",80175290
"The Skeleton Key","Drama","Universal Pictures","PG-13",2005,6.5,108000,"Iain Softley","Ehren Kruger","Kate Hudson",43000000,91974818,104,"United States",48974818
"Made of Honor","Comedy","Columbia Pictures","PG-13",2008,5.9,69000,"Paul Weiland","Adam Sztykiel","Patrick Dempsey",40000000,84601681,101,"United States",44601681
"Paul","Adventure","Universal Pictures","R",2011,7,240000,"Greg Mottola","Simon Pegg","Simon Pegg",40000000,97552050,104,"United States",57552050
"The Guilt Trip","Comedy","Paramount Pictures","PG-13",2012,5.7,36000,"Anne Fletcher","Dan Fogelman","Barbra Streisand",40000000,41863726,95,"United States",1863726
"Scream 4","Horror","Dimension Films","R",2011,6.1,131000,"Wes Craven","Kevin Williamson","Neve Campbell",40000000,97138686,111,"United States",57138686
"Final Destination 5","Horror","New Line Cinema","R",2011,5.8,109000,"Steven Quale","Eric Heisserer","Nicholas D'Agosto",47000000,157887643,92,"United States",110887643
"Fever Pitch","Comedy","Fox 2000 Pictures","PG-13",2005,6.2,43000,"Bobby Farrelly","Lowell Ganz","Drew Barrymore",30000000,50451307,103,"United States",20451307
"The Shadow","Adventure","Universal Pictures","PG-13",1994,6.1,24000,"Russell Mulcahy","Walter B. Gibson","Alec Baldwin",25000000,48063435,108,"United States",23063435
"Morning Glory","Comedy","Bad Robot","PG-13",2010,6.5,76000,"Roger Michell","Aline Brosh McKenna","Rachel McAdams",40000000,58785180,102,"United States",18785180
"The Island of Dr. Moreau","Fantasy","New Line Cinema","PG-13",1996,4.5,32000,"John Frankenheimer","H.G. Wells","David Thewlis",40000000,49627779,96,"United States",9627779
"Renaissance Man","Comedy","Cinergi Pictures Entertainment","PG-13",1994,6.2,17000,"Penny Marshall","Jim Burnstein","Danny DeVito",40000000,24332324,128,"United States",-15667676
"Quest for Camelot","Fantasy","Warner Bros.","G",1998,6.3,16000,"Frederik Du Chau","Vera Chapman","Jessalyn Gilsig",40000000,38172500,86,"United States",-1827500
"Ishtar","Action","Columbia Pictures","PG-13",1987,4.5,11000,"Elaine May","Elaine May","Warren Beatty",55000000,14375181,107,"United States",-40624819
"Alfie","Comedy","Paramount Pictures","R",2004,6.2,51000,"Charles Shyer","Bill Naughton","Jude Law",60000000,13395939,103,"United Kingdom",-46604061
"Big Miracle","Adventure","Universal Pictures","PG",2012,6.5,19000,"Ken Kwapis","Jack Amiel","Drew Barrymore",40000000,24719215,107,"United States",-15280785
"Sunshine","Science Fiction","DNA Films","R",2007,7.2,238000,"Danny Boyle","Alex Garland","Cillian Murphy",50000000,32017803,107,"United Kingdom",-17982197
"Hackers","Action","United Artists","PG-13",1995,6.2,66000,"Iain Softley","Rafael Moreu","Jonny Lee Miller",20000000,7563728,107,"United States",-12436272
"The Time Traveler's Wife","Drama","New Line Cinema","PG-13",2009,7.1,144000,"Robert Schwentke","Bruce Joel Rubin","Eric Bana",39000000,101229792,107,"United States",62229792
"Serenity","Science Fiction","Universal Pictures","PG-13",2005,7.8,287000,"Joss Whedon","Joss Whedon","Nathan Fillion",39000000,38869464,119,"United States",-130536
"Sweet Home Alabama","Comedy","Touchstone Pictures","PG-13",2002,6.2,105000,"Andy Tennant","Douglas J. Eboch","Reese Witherspoon",30000000,180622424,108,"United States",150622424
"Star Trek: Generations","Science Fiction","Paramount Pictures","PG",1994,6.6,78000,"David Carson","Gene Roddenberry","Patrick Stewart",38000000,1.2e+08,118,"United States",8.2e+07
"Paul Blart: Mall Cop 2","Action","Columbia Pictures","PG",2015,4.4,35000,"Andy Fickman","Kevin James","Kevin James",38000000,107597242,94,"United States",69597242
"White Squall","Action","Hollywood Pictures","PG-13",1996,6.6,22000,"Ridley Scott","Charles Gieg Jr.","Jeff Bridges",38000000,10300000,129,"United States",-27700000
"The Thing","Horror","Universal Pictures","R",1982,8.1,382000,"John Carpenter","Bill Lancaster","Kurt Russell",15000000,19629760,109,"United States",4629760
"City of Ember","Adventure","Playtone","PG",2008,6.5,64000,"Gil Kenan","Caroline Thompson","Saoirse Ronan",55000000,17869048,90,"United States",-37130952
"The Express","Drama","Davis Entertainment","PG",2008,7.3,20000,"Gary Fleder","Charles Leavitt","Rob Brown",40000000,9793496,130,"United States",-30206504
"The 5th Wave","Adventure","Columbia Pictures","PG-13",2016,5.2,103000,"J Blakeson","Susannah Grant","Chloë Grace Moretz",38000000,109906372,112,"United States",71906372
"Nim's Island","Adventure","Walden Media","PG",2008,6,34000,"Jennifer Flackett","Joseph Kwong","Jodie Foster",37000000,100076342,96,"United States",63076342
"Cop Out","Action","Warner Bros.","R",2010,5.6,86000,"Kevin Smith","Robb Cullen","Bruce Willis",30000000,55583804,107,"United States",25583804
"How to Be Single","Comedy","New Line Cinema","R",2016,6.1,83000,"Christian Ditter","Abby Kohn","Dakota Johnson",38000000,112343513,110,"United States",74343513
"Dolphin Tale","Drama","Alcon Entertainment","PG",2011,6.8,23000,"Charles Martin Smith","Karen Janszen","Morgan Freeman",37000000,95404397,113,"Canada",58404397
"Twilight","Adventure","Summit Entertainment","PG-13",2008,5.2,435000,"Catherine Hardwicke","Melissa Rosenberg","Kristen Stewart",37000000,392616625,122,"United States",355616625
"John Q","Drama","New Line Cinema","PG-13",2002,7.1,127000,"Nick Cassavetes","James Kearns","Denzel Washington",36000000,102244770,116,"United States",66244770
"Blue Streak","Action","Columbia Pictures","PG-13",1999,6.3,77000,"Les Mayfield","Michael Berry","Martin Lawrence",65000000,117758500,93,"Germany",52758500
"We're the Millers","Comedy","New Line Cinema","R",2013,7,415000,"Rawson Marshall Thurber","Bob Fisher","Jason Sudeikis",37000000,269994119,110,"United States",232994119
"Reindeer Games","Thriller","Dimension Films","R",2000,5.8,38000,"John Frankenheimer","Ehren Kruger","Ben Affleck",42000000,32168970,124,"United States",-9831030
"The Rite","Drama","New Line Cinema","PG-13",2011,6,93000,"Mikael Håfström","Michael Petroni","Colin O'Donoghue",37000000,96047633,114,"United States",59047633
"Gattaca","Thriller","Columbia Pictures","PG-13",1997,7.8,287000,"Andrew Niccol","Andrew Niccol","Ethan Hawke",36000000,12532777,106,"United States",-23467223
"The Blind Side","Drama","Alcon Entertainment","PG-13",2009,7.6,303000,"John Lee Hancock","John Lee Hancock","Quinton Aaron",29000000,309208309,129,"United States",280208309
"Spy Kids","Action","Dimension Films","PG",2001,5.5,111000,"Robert Rodriguez","Robert Rodriguez","Alexa PenaVega",35000000,147934180,88,"United States",112934180
"Horrible Bosses","Comedy","New Line Cinema","R",2011,6.8,428000,"Seth Gordon","Michael Markowitz","Jason Bateman",35000000,1.17e+08,98,"United States",8.2e+07
"True Grit","Drama","Paramount Pictures","PG-13",2010,7.6,319000,"Ethan Coen","Joel Coen","Jeff Bridges",38000000,252276927,110,"United States",214276927
"21","Drama","Columbia Pictures","PG-13",2008,6.8,235000,"Robert Luketic","Peter Steinfeld","Jim Sturgess",35000000,69823199,123,"United States",34823199
"Trainwreck","Comedy","Universal Pictures","R",2015,6.2,132000,"Judd Apatow","Amy Schumer","Amy Schumer",35000000,140795793,125,"United States",105795793
"Guess Who","Comedy","Columbia Pictures","PG-13",2005,5.9,41000,"Kevin Rodney Sullivan","William Rose","Ashton Kutcher",35000000,68915888,105,"United States",33915888
"Sky High","Adventure","Walt Disney Pictures","PG",2005,6.2,81000,"Mike Mitchell","Paul Hernandez","Kurt Russell",35000000,86369815,100,"United States",51369815
"Species","Science Fiction","Metro-Goldwyn-Mayer (MGM)","R",1995,5.8,76000,"Roger Donaldson","Dennis Feldman","Natasha Henstridge",35000000,113374103,108,"United States",78374103
"A Nightmare on Elm Street","Horror","New Line Cinema","R",1984,7.5,212000,"Wes Craven","Wes Craven","Heather Langenkamp",1800000,25504513,91,"United States",23704513
"A Nightmare on Elm Street","Horror","New Line Cinema","R",2010,5.2,95000,"Samuel Bayer","Wesley Strick","Jackie Earle Haley",1800000,25504513,91,"United States",23704513
"The Cell","Horror","New Line Cinema","R",2000,6.4,97000,"Tarsem Singh","Mark Protosevich","Jennifer Lopez",33000000,104155843,107,"United States",71155843
"Secretariat","Drama","Walt Disney Pictures","PG",2010,7.2,27000,"Randall Wallace","Mike Rich","Diane Lane",35000000,60251371,123,"United States",25251371
"Radio","Drama","Revolution Studios","PG",2003,6.9,39000,"Michael Tollin","Mike Rich","Cuba Gooding Jr.",32000000,52277485,109,"United States",20277485
"Neighbors 2: Sorority Rising","Comedy","Universal Pictures","R",2016,5.7,116000,"Nicholas Stoller","Andrew Jay Cohen","Seth Rogen",35000000,108758521,91,"United States",73758521
"Saving Mr. Banks","Comedy","Walt Disney Pictures","PG-13",2013,7.5,155000,"John Lee Hancock","Kelly Marcel","Emma Thompson",35000000,112544580,125,"United States",77544580
"This Is 40","Comedy","Apatow Productions","R",2012,6.2,132000,"Judd Apatow","Judd Apatow","Paul Rudd",35000000,88058786,134,"United States",53058786
"Old Dogs","Comedy","Walt Disney Pictures","PG",2009,5.3,37000,"Walt Becker","David Diamond","Robin Williams",35000000,92219310,88,"United States",57219310
"Something Borrowed","Comedy","Alcon Entertainment","PG-13",2011,5.9,59000,"Luke Greenfield","Jennie Snyder Urman","Ginnifer Goodwin",35000000,59901913,112,"United States",24901913
"Closer","Drama","Columbia Pictures","R",2004,7.2,207000,"Mike Nichols","Patrick Marber","Natalie Portman",27000000,115505027,104,"United States",88505027
"J. Edgar","Drama","Imagine Entertainment","R",2011,6.5,124000,"Clint Eastwood","Dustin Lance Black","Leonardo DiCaprio",35000000,84606030,137,"United States",49606030
"Midnight in the Garden of Good and Evil","Crime","Warner Bros.","R",1997,6.6,37000,"Clint Eastwood","John Berendt","John Cusack",35000000,25105255,155,"United States",-9894745
"Superhero Movie","Action","Dimension Films","PG-13",2008,4.6,65000,"Craig Mazin","Craig Mazin","Drake Bell",35000000,25871834,85,"United States",-9128166
"The Four Feathers","War","Paramount Pictures","PG-13",2002,6.5,33000,"Shekhar Kapur","A.E.W. Mason","Heath Ledger",35000000,29882645,132,"United Kingdom",-5117355
"Wimbledon","Comedy","Universal Pictures","PG-13",2004,6.3,61000,"Richard Loncraine","Adam Brooks","Kirsten Dunst",31000000,41512007,98,"United Kingdom",10512007
"Furry Vengeance","Comedy","Summit Entertainment","PG",2010,3.8,16000,"Roger Kumble","Michael Carnes","Brendan Fraser",35000000,39340177,92,"United Kingdom",4340177
"The Young Victoria","Drama","GK Films","PG",2009,7.3,59000,"Jean-Marc Vallée","Julian Fellowes","Emily Blunt",35000000,27409889,105,"United Kingdom",-7590111
"Punisher: War Zone","Action","Lionsgate","R",2008,5.9,61000,"Lexi Alexander","Nick Santora","Ray Stevenson",20500000,10089373,102,"United States",-10410627
"A Good Year","Comedy","Fox 2000 Pictures","PG-13",2006,7,91000,"Ridley Scott","Marc Klein","Russell Crowe",35000000,42064105,118,"United States",7064105
"Radio Flyer","Drama","Columbia Pictures","PG-13",1992,7,13000,"Richard Donner","David Mickey Evans","Lorraine Bracco",35000000,4651977,114,"United States",-30348023
"Ride with the Devil","Drama","Universal Pictures","R",1999,6.7,13000,"Ang Lee","Daniel Woodrell","Tobey Maguire",38000000,635096,138,"United States",-37364904
"The Age of Innocence","Drama","Columbia Pictures","PG",1993,7.2,56000,"Martin Scorsese","Edith Wharton","Daniel Day-Lewis",34000000,32255440,139,"United States",-1744560
